"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 15 06:00:22 UTC 2025","Mon Dec 15 06:00:22 UTC 2025","15","test_cases","test_product","TestProduct","","","test_get_all_products",""
"passed","Mon Dec 15 06:00:23 UTC 2025","Mon Dec 15 06:00:23 UTC 2025","331","test_cases","test_allUsers","TestAllUsers","","","test_get_all_users","
测试获取所有用户信息
"
"passed","Mon Dec 15 06:00:22 UTC 2025","Mon Dec 15 06:00:25 UTC 2025","3384","test_cases","test_login","TestLogin","","","test_get_all_tokens",""
"passed","Mon Dec 15 06:00:22 UTC 2025","Mon Dec 15 06:00:22 UTC 2025","104","test_cases","test_user","TestUser","","","test_update_user[test2-test_2]",""
"passed","Mon Dec 15 06:00:23 UTC 2025","Mon Dec 15 06:00:23 UTC 2025","107","test_cases","test_product","TestProduct","","","test_get_product_by_name[test]",""
"passed","Mon Dec 15 06:00:22 UTC 2025","Mon Dec 15 06:00:22 UTC 2025","96","test_cases","test_user","TestUser","","","test_get_user_by_id[2]",""
"passed","Mon Dec 15 06:00:22 UTC 2025","Mon Dec 15 06:00:22 UTC 2025","97","test_cases","test_user","TestUser","","","test_get_user_by_id[3]",""
"passed","Mon Dec 15 06:00:23 UTC 2025","Mon Dec 15 06:00:23 UTC 2025","98","test_cases","test_carts","TestCarts","","","test_delete_cart_by_carts_id[3]",""
"passed","Mon Dec 15 06:00:22 UTC 2025","Mon Dec 15 06:00:22 UTC 2025","94","test_cases","test_user","TestUser","","","test_add_user[test2-test_2-20]",""
"passed","Mon Dec 15 06:00:22 UTC 2025","Mon Dec 15 06:00:22 UTC 2025","94","test_cases","test_product","TestProduct","","","test_add_product[test-test description-test category-2000]",""
"passed","Mon Dec 15 06:00:22 UTC 2025","Mon Dec 15 06:00:22 UTC 2025","105","test_cases","test_product","TestProduct","","","test_add_product[python-python description-python category-3000]",""
"passed","Mon Dec 15 06:00:23 UTC 2025","Mon Dec 15 06:00:23 UTC 2025","93","test_cases","test_carts","TestCarts","","","test_update_cart_by_carts_id[2-2-3]",""
"passed","Mon Dec 15 06:00:23 UTC 2025","Mon Dec 15 06:00:23 UTC 2025","99","test_cases","test_carts","TestCarts","","","test_add_cart[4-products2]","
添加购物车
:param user_id: 用户ID
:param products: 产品列表，格式为 [{""id"": 1, ""quantity"": 1}, ...]
:return: API响应
"
"passed","Mon Dec 15 06:00:23 UTC 2025","Mon Dec 15 06:00:23 UTC 2025","102","test_cases","test_carts","TestCarts","","","test_get_all_carts",""
